did,name,kw,nr_attr,desc,feats
46561,EDA-Home-Mortgage-NY-Sampled-Dataset,finance,100,Dataset is uploaded from kaggle. https://www.kaggle.com/code/ambarish/eda-home-mortgage-ny-with-feature-analysis/script,"applicant_ethnicity_1, loan_purpose_3, msamd_46540.0, applicant_sex_4, number_of_1_to_4_family_units, applicant_ethnicit"
41762,FOREX_audsgd-hour-Close,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41758,FOREX_eursgd-hour-Close,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41763,FOREX_audcad-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41727,FOREX_usdcad-hour-Close,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41734,FOREX_eurpln-hour-Close,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41715,FOREX_eurhuf-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41723,FOREX_cadchf-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41709,FOREX_audchf-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41718,FOREX_audjpy-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41712,FOREX_eurcad-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41804,FOREX_gbpusd-hour-Close,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41799,FOREX_eurhkd-hour-Close,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41777,FOREX_eurjpy-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41779,FOREX_eursek-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41768,FOREX_eurnok-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41773,FOREX_eurtry-hour-Close,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41780,FOREX_usdchf-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41824,FOREX_eurgbp-hour-Close,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41833,FOREX_cadjpy-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41835,FOREX_euraud-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41832,FOREX_nzdusd-hour-Close,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41856,FOREX_eurdkk-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41782,FOREX_usdjpy-hour-Close,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41805,FOREX_eurrub-hour-High,unknown,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
46822,Dynamically-Generated-Hate-Speech-Dataset,image,8,The Dynamically Generated Hate Speech Dataset is provided in one table. 'acl.id' is the unique ID of the entry. 'Text' is the content which has been entered. All content is synthet,"level, round.base, target, type, text, X1, annotator, label, round"
727,2dplanes,unknown,10,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"x8, x5, binaryClass, x4, x10, x2, x9, x6, x3, x7, x1"
901,fried,unknown,10,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"X6, X10, X8, X2, X1, X3, X7, X9, X5, X4, binaryClass"
881,mv,unknown,10,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"x8, x5, binaryClass, x4, x10, x2, x9, x6, x3, x7, x1"
41434,Click_prediction_small,unknown,11,This is the same data as version 5 (OpenML ID = 1220) with '_id' features coded as nominal factor variables.,"advertiser_id, click, impression, url_hash, query_id, keyword_id, description_id, position, ad_id, title_id, user_id, de"
251,BNG(breast-w),unknown,9,,"Bare_Nuclei, Clump_Thickness, Cell_Size_Uniformity, Bland_Chromatin, Marginal_Adhesion, Mitoses, Single_Epi_Cell_Size, C"
137,BNG(tic-tac-toe),unknown,9,,"bottom-left-square, middle-middle-square, top-middle-square, top-left-square, Class, middle-left-square, bottom-middle-s"
45714,PriceRunner,text,5,"These datasets originate from PriceRunner, a popular product comparison platform. They contain product-related information including product IDs, titles, and categories. It can be ","cluster_id, category_id, vendor_id, cluster_label, product_title, category_label, id"
46371,Customer_Churn_Classification_Nominal,social,24,An updated version of the Customer Churn dataset for binary classification. The target variable 'exited' is now treated as nominal with categories: 'not_churned' and 'churned'.,"isactivemember, surname_tfidf_4, cred_bal_sal, bal_sal, surname_tfidf_1, germany, spain, creditscore, surname_tfidf_2, e"
1486,nomao,text,118,**Author**: Nomao Labs **Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Nomao) **Please cite**: Laurent Candillier and Vincent Lemaire. Design and Analysis of the Nomao Ch,"V13, V23, V50, V104, V118, V77, V76, V86, V112, V15, V47, V1, V68, V54, V11, V27, V100, V46, V70, V113, V108, V92, V42, "
43551,Employee-Turnover-at-TECHCO,unknown,9,"Context These are simulated data based on employee turnover data in a real technology company in India (we refer to this company by a pseudonym, 'TECHCO'). These data can be used t","distance, turnover, logical_score, time, verbal_score, emp_id, training_score, is_male, location_age, similar_language, "
4135,Amazon_employee_access,unknown,9,**Author**: **Source**: [Kaggle Amazon Employee Access Challenge](https://www.kaggle.com/c/amazon-employee-access-challenge) **Please cite**: ### Description The data consists of r,"target, ROLE_TITLE, ROLE_DEPTNAME, ROLE_ROLLUP_2, ROLE_ROLLUP_1, ROLE_FAMILY_DESC, RESOURCE, ROLE_FAMILY, ROLE_CODE, MGR"
1119,adult-census,social,14,"**Author**: Ronny Kohavi and Barry Becker **Source**: [MLRR](http://axon.cs.byu.edu:5000/) **Please cite**: Ron Kohavi, ""Scaling Up the Accuracy of Naive-Bayes Classifiers: a Decis","occupation:, education:, fnlwgt:, native-country:, marital-status:, class, workclass, hours-per-week:, age, relationship"
46548,dataset_default_of_credit_card_clients,finance,23,"Financial dataset for automl benchmark. Name = dataset_default_of_credit_card_clients, target = y","x21, x4, x9, x20, x3, x5, x16, x6, x23, x1, x8, x14, x12, x15, x13, x7, y, x17, x22, x11, x19, x18, x10, x2"
46871,Advanced_IoT_Dataset,education,13,"About Dataset Source Data with Authors In the master's thesis research conducted by student Mohammed Ismail Lifta (2023-2024) at the Department of Computer Science, College of Comp","Average root length (ARL), Average number of plant leaves (ANPL), Average wet weight of the root (AWWR), Percentage of d"
46919,credit_card_clients_default,finance,23,This dataset was curated for [TabArena](https://tabarena.ai/) by the TabArena team as part of the [TabArena Tabular ML IID Study](https://tabarena.ai/data-tabular-ml-iid-study). Fo,"PAY_3, AGE, PAY_5, PAY_AMT2, PAY_AMT5, BILL_AMT2, MARRIAGE, PAY_4, BILL_AMT1, BILL_AMT5, PAY_0, BILL_AMT6, LIMIT_BAL, De"
1537,volcanoes-c1,image,3,"**Author**: Michael C. Burl **Source**: UCI **Please cite**: * Dataset Title: Volcanoes on Venus - JARtool experiment Data Set Experiment: C1 * Source: Michael C. Burl MS 126-347, ","Class, V3, V2, V1"
1481,kr-vs-k,unknown,6,"**Author**: **Source**: KEEL **Please cite**: Abstract: A chess endgame data set representing the positions on the board of the white king, the white rook, and the black king. The ","V4, V6, Class, V5, V3, V2, V1"
184,kropt,unknown,6,"Classify a chess game based on the position of the white king, the white rook and the black king.","white_rook_col, black_king_col, white_king_col, white_king_row, white_rook_row, game, black_king_row"
46173,King-rook-vs-King,unknown,6,"**King-Rock-vs-King** (kr-vs-k) dataset. Source: **KEEL** **Abstract**: A chess endgame data set representing the positions on the board of the white king, the white rook, and the ","Game, White_king_col, White_king_row, White_rook_row, White_rook_col, Black_king_row, Black_king_col"
46874,student_depression_dataset,education,16,"Analyzing Mental Health Trends and Predictors Among Students About Dataset A student depression dataset typically contains data aimed at analyzing, understanding, and predicting de","Academic Pressure, Dietary Habits, Work Pressure, Financial Stress, Sleep Duration, Have you ever had suicidal thoughts "
46541,dataset_china,finance,27,"Financial dataset for automl benchmark. Name = dataset_china, target = five_categories","whether_interest_is_owed_(regulatory_standard), customer_id, five-level_classification, whether_self-service_loan, wheth"
46682,CodeXGLUE,unknown,5,"CodeXGLUE Defect-detection dataset, available at https://github.com/microsoft/CodeXGLUE/tree/main/Code-Code/Defect-detection Given a source code, the task is to identify whether it","target, split, commit_id, id, project, func"
42493,airlines,unknown,7,"**Author**: Albert Bifet, Elena Ikonomovska **Source**: [Data Expo competition](http://kt.ijs.si/elena_ikonomovska/data.html) - 2009 **Please cite**: Airlines Dataset Inspired in t","DayOfWeek, Time, Length, Delay, Flight, AirportTo, Airline, AirportFrom"
45067,okcupid_stem,education,13,"User profile data for San Francisco OkCupid users published in [Kim, A. Y., & Escobedo-Land, A. (2015). OKCupid data for introductory statistics and data science courses. Journal o","body_type, status, drinks, orientation, sign, class, height, location, sex, age, education, smokes, drugs, ethnicity"
45037,BitcoinHeist_Ransomware,social,7,"Dataset used in the tabular data benchmark https://github.com/LeoGrin/tabular-benchmark, transformed in the same way. This dataset belongs to the ""classification on both numerical ","length, count, neighbors, looped, weight, day, label, income"
843,house_8L,unknown,8,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"H15p1, P19p2, H5p2, H40p4, P16p2, P3, P11p3, binaryClass, P6p4"
821,house_16H,unknown,16,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"P27p4, H8p2, H13p1, P5p1, P15p1, P6p2, P18p2, P1, H2p2, P11p4, H18pA, P16p2, H40p4, H10p1, P14p9, binaryClass, P15p3"
45504,timing-attack-dataset-20-micro-seconds-delay-2022-09-20,biology,124,Bleichenbacher Timing Attack: 20 micro seconds dataset created on 2022-09-20 Attribute Descriptions: CCS0:tcp.srcport: TCP Source Port of the first Change Cipher Spec TCP Acknowled,"DISC1:tcp.flags.push, CCS0:tcp.len, DISC0:tcp.options.nop, CCS0:tcp.ack, TLS0:tcp.flags.push, DISC0:tcp.flags.push, DISC"
43890,law-school-admission-bianry,education,11,Law School Admissions (Binarized) Survey among students attending law school in the U.S. in 1991. The dataset was obtained from the R-package fairml. The response variable has been,"cluster, bar, gender, ugpagt3, fam_inc, decile1, ugpa, race1, lsat, age, fulltime, decile3"
823,houses,unknown,8,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"median_income, households, total_rooms, housing_median_age, population, median_house_value, total_bedrooms, latitude, bi"
45578,California-Housing-Classification,social,8,"Binarized version of the California Housing Dataset This dataset was obtained from Luis Torgo's collection of regression datasets. It was binarized to serve as the original, unproc","housingMedianAge, medianHouseValue, totalBedrooms, households, population, medianIncome, latitude, longitude, totalRooms"
44090,california,finance,8,"Dataset used in the tabular data benchmark https://github.com/LeoGrin/tabular-benchmark, transformed in the same way. This dataset belongs to the ""classification on numerical featu","Longitude, HouseAge, price, MedInc, AveOccup, Latitude, AveRooms, AveBedrms, Population"
46808,news_channel,text,17,"Predict which news category (i.e. channel) a Mashable.com news article belongs to based on the text of its title, as well as auxiliary numerical features like the number of words i","n_non_stop_unique_tokens, n_non_stop_words, channel, n_tokens_content, global_rate_positive_words, num_hrefs, n_unique_t"
6,letter,image,16,"**Author**: David J. Slate **Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Letter+Recognition) - 01-01-1991 **Please cite**: P. W. Frey and D. J. Slate. ""Letter Recogniti","y-box, x2ybr, width, y2bar, x-bar, x-ege, xegvy, class, high, yegvx, onpix, xybar, y-ege, xy2br, x2bar, x-box, y-bar"
41671,microaggregation2,unknown,20,microaggregation2_nominal,"a6, a7, a20, a1, a12, a11, a16, a10, a9, a8, class, a5, a4, a19, a3, a13, a17, a14, a18, a2, a15"
40926,CIFAR_10_small,image,1000,"**Author**: Alex Krizhevsky, Vinod Nair, and Geoffrey Hinton **Source**: [University of Toronto](https://www.cs.toronto.edu/~kriz/cifar.html) - 2009 **Please cite**: Alex Krizhevsk","a1585, a1123, a734, a2517, a1903, a1472, a232, a982, a1059, a692, a2841, a64, a398, a544, a1818, a1241, a1177, a2325, a9"
41159,guillermo,social,1000,"The goal of this challenge is to expose the research community to real world datasets of interest to 4Paradigm. All datasets are formatted in a uniform way, though the type of data","V1685, V2548, V3820, V4237, V2330, V1618, V2808, V1240, V3027, V2549, V3613, V1116, V646, V3407, V3931, V1125, V1419, V3"
1222,letter-challenge-unlabeled.arff,unknown,16,,"xedgevy, y-box, x2ybr, width, y2bar, onpixels, x-bar, y-edge, x-edge, height, xybar, letter, xy2br, x2bar, x-box, yedgev"
46935,HR_Analytics_Job_Change_of_Data_Scientists,social,12,This dataset was curated for [TabArena](https://tabarena.ai/) by the TabArena team as part of the [TabArena Tabular ML IID Study](https://tabarena.ai/data-tabular-ml-iid-study). Fo,"enrolled_university, major_discipline, company_size, relevent_experience, last_new_job, city, experience, LookingForJobC"
1120,MagicTelescope,image,10,"**Author**: R. K. Bock. Major Atmospheric Gamma Imaging Cherenkov Telescope project (MAGIC) Donated by P. Savicky, Institute of Computer Science, AS of CR, Czech Republic **Source*","fDist:, fConc1:, fM3Trans:, class:, fM3Long:, fLength:, fWidth:, fAsym:, fSize:, ID, fAlpha:, fConc:"
45558,Pulsar-Dataset-HTRU2,education,8,"Pulsar candidates collected during the HTRU survey. Pulsars are a type of star, of considerable scientific interest. Candidates must be classified in to pulsar and non-pulsar class","DM_kurtosis, DM_mean, DM_stdev, Profile_mean, DM_skewness, class, Profile_kurtosis, Profile_stdev, Profile_skewness"
45024,credit,finance,10,"Dataset used in the tabular data benchmark https://github.com/LeoGrin/tabular-benchmark, transformed in the same way. This dataset belongs to the ""classification on numerical featu","SeriousDlqin2yrs, NumberRealEstateLoansOrLines, NumberOfTimes90DaysLate, NumberOfDependents, MonthlyIncome, RevolvingUti"
44162,compass,finance,17,"Dataset used in the tabular data benchmark https://github.com/LeoGrin/tabular-benchmark, transformed in the same way. This dataset belongs to the ""classification on categorical and","juv_fel_count, priors_count, v_decile_score, juv_other_count, race, score_text, v_type_of_assessment, decile_score.1, c_"
846,elevators,unknown,18,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"SaTime2, p, q, Sgz, diffSaTime1, diffSaTime4, diffClb, diffSaTime3, SaTime4, diffDiffClb, binaryClass, curRoll, climbRat"
44226,NewspaperChurn,social,18,This dataset includes 15856 records of individuals who are or were subscribers to this newspaper. Datasets contain demographic information like HH Income which stands for the house,"weekly fee, reward program, Home Ownership, Address, Source Channel, Year Of Residence, Subscriber, dummy for Children, "
45936,IndoorScenes,image,2,Indoor scene recognition is a challenging open problem in high level vision. Most scene recognition models that work well for outdoor scenes perform poorly in the indoor domain. Th,"Class_name, Class_encoded, Filename"
41526,test_dataset,unknown,60,Test dataset,"V26, V13, V23, V50, V10, V45, V24, V28, V34, V52, V15, V47, V55, V17, V54, V6, V60, V32, V22, V40, class, V31, V11, V8, "
1046,mozilla4,unknown,5,**Author**: **Source**: Unknown - Date unknown **Please cite**: %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% This is a PROMISE Software Engineering Rep,"size, event, end, state, start, id"
722,pol,unknown,48,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"f34, f47, f33, f43, f9, f7, f8, f37, f25, f30, f48, f32, f2, f1, f12, f15, f20, f5, f23, f45, f4, f27, f38, f16, f41, f2"
1471,eeg-eye-state,health,14,"**Author**: Oliver Roesler **Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/EEG+Eye+State), Baden-Wuerttemberg, Cooperative State University (DHBW), Stuttgart, Germany **P","V4, V6, V12, V14, V13, V7, V9, V10, Class, V11, V5, V8, V3, V2, V1"
1040,sylva_prior,unknown,108,**Author**: **Source**: Unknown - Date unknown **Please cite**: Datasets from the Agnostic Learning vs. Prior Knowledge Challenge (http://www.agnostic.inf.ethz.ch) **Note: Derived ,"Soil_Type_34, dup_Soil_Type_24, Soil_Type_23, Soil_Type_15, Soil_Type_37, Soil_Type_29, Soil_Type_17, dup_Soil_Type_20, "
4154,CreditCardSubset,unknown,30,Om algos te testen,"V26, V13, V23, V10, Class, V24, V28, V15, V1, V17, V6, V22, V11, V8, V19, V27, V3, V4, V12, Amount, V16, V2, Time, V14, "
1476,gas-drift,sensor_signal,128,"**Author**: Alexander Vergara **Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/gas+sensor+array+drift+dataset) - 2012 **Please cite**: Alexander Vergara, Shankar Vembu, Tu","V13, V23, V50, V104, V118, V77, V76, V120, V86, V112, V15, V47, V1, V68, V54, V11, V27, V100, V46, V70, V113, V108, V92,"
734,ailerons,unknown,40,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"diffSeTime14, diffSeTime1, diffSeTime3, p, SeTime5, diffSeTime12, q, SeTime8, SeTime10, SeTime4, diffSeTime7, diffSeTime"
959,nursery,unknown,8,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-cla,"parents, social, health, finance, form, has_nurs, housing, children, binaryClass"
46937,in_vehicle_coupon_recommendation,text,24,This dataset was curated for [TabArena](https://tabarena.ai/) by the TabArena team as part of the [TabArena Tabular ML IID Study](https://tabarena.ai/data-tabular-ml-iid-study). Fo,"occupation, weather, CoffeeHouse, RestaurantLessThan20, passenger, car, maritalStatus, time, CarryAway, expiration, has_"
45060,online_shoppers,social,17,"The dataset consists of feature vectors belonging to 12,330 sessions.The dataset was formed so that each sessionwould belong to a different user in a 1-year period to avoidany tend","Informational_Duration, Browser, Administrative, BounceRates, Region, VisitorType, Month, PageValues, OperatingSystems, "
46689,sst5,text,1,"The SST-5, also known as the Stanford Sentiment Treebank with 5 labels, is a dataset used for sentiment analysis. The SST-5 dataset consists of 11,855 single sentences extracted fr","label_text, text"
310,mammography,unknown,6,"**Author**: **Source**: Unknown - **Please cite**: Mammography dataset Past Usage: 1. Woods, K., Doss, C., Bowyer, K., Solka, J., Priebe, C.,","attr6, class, attr3, attr4, attr2, attr1, attr5"
